dataset,exp,representation,src,tgt,epoch,acc,mf1,mrr,map,a10,char_erate,ins_erate,del_erate,sub_erate,vow_erate,cons_erate,vow_frac,cons_frac,oth_frac,vow_ecount,cons_ecount,oth_ecount,all_ecount
news_2015_indic,2_multilingual,onehot_shared,kn,ta,8,0.383023,0.862345,0.41452,0.383023,0.465839,0.176309729419,0.043609671848,0.0449050086356,0.0877950489349,0.283906882591,0.127011007621,0.457959183673,0.367346938776,0.174693877551,561.0,450.0,214.0,1225.0
news_2015_indic,2_multilingual,onehot_shared,ta,hi,26,0.289662,0.781242,0.312658,0.289662,0.350051,0.254882323485,0.045735269571,0.0605908863295,0.148556167585,0.329093799682,0.186839012926,0.406679764244,0.416502946955,0.176817288802,621.0,636.0,270.0,1527.0
news_2015_indic,2_multilingual,onehot_shared,ta,kn,39,0.290589,0.795544,0.349845,0.290589,0.444674,0.229138062548,0.0454614797864,0.0483600305111,0.13531655225,0.312017640573,0.196857396976,0.376830892144,0.44207723036,0.181091877497,566.0,664.0,272.0,1502.0
news_2015_indic,2_multilingual_zeroshot,onehot_shared,bn,ta,26,0.317853,,,,,,,,,,,,,,,,,
news_2015_indic,2_multilingual_zeroshot,onehot_shared,hi,kn,26,0.444785,,,,,,,,,,,,,,,,,
news_2015_indic,2_multilingual_zeroshot,onehot_shared,kn,hi,26,0.404494,,,,,,,,,,,,,,,,,
news_2015_indic,2_multilingual_zeroshot,onehot_shared,ta,bn,26,0.248731,,,,,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,onehot_shared,bn,hi,28,0.272821,0.797997,0.28907,0.272821,0.313846,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,onehot_shared,bn,kn,14,0.258603,0.809653,0.275029,0.258603,0.306569,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,onehot_shared,hi,bn,29,0.372211,0.831423,0.400906,0.372211,0.444219,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,onehot_shared,hi,ta,35,0.357434,0.846523,0.384555,0.357434,0.431772,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,onehot_shared,kn,bn,13,0.322222,0.82216,0.335919,0.322222,0.359596,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,onehot_shared,kn,ta,10,0.400621,0.861436,0.410223,0.400621,0.431677,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,onehot_shared,ta,hi,26,0.27738,0.776425,0.295616,0.27738,0.325486,,,,,,,,,,,,,
news_2015_indic,3_multilingual_prefix_tgt,onehot_shared,ta,kn,10,0.281282,0.795378,0.293281,0.281282,0.317477,,,,,,,,,,,,,
news_2015_indic,7_multilingual,onehot_shared,bn,hi,16,0.287179,0.808711,0.314796,0.287179,0.362051,,,,,,,,,,,,,
news_2015_indic,7_multilingual,onehot_shared,bn,kn,14,0.271116,0.817577,0.325455,0.271116,0.41293,,,,,,,,,,,,,
news_2015_indic,7_multilingual,onehot_shared,hi,bn,28,0.393509,0.84425,0.433993,0.393509,0.496957,,,,,,,,,,,,,
news_2015_indic,7_multilingual,onehot_shared,hi,ta,11,0.355397,0.85628,0.423778,0.355397,0.533605,,,,,,,,,,,,,
news_2015_indic,7_multilingual,onehot_shared,kn,bn,38,0.357576,0.83581,0.392417,0.357576,0.447475,,,,,,,,,,,,,
news_2015_indic,7_multilingual,onehot_shared,kn,ta,15,0.403727,0.866134,0.448775,0.403727,0.517598,,,,,,,,,,,,,
news_2015_indic,7_multilingual,onehot_shared,ta,hi,36,0.284545,0.775343,0.323987,0.284545,0.388946,,,,,,,,,,,,,
news_2015_indic,7_multilingual,onehot_shared,ta,kn,36,0.286453,0.792059,0.340962,0.286453,0.428128,,,,,,,,,,,,,
